"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 04 19:17:12 GMT 2023","Mon Dec 04 19:17:13 GMT 2023","325","tests.api_tests","test_api","","","","test_create_user_without_email","
    Test creation of new user with incorrect parameters
    :rtype: object
    "
"passed","Mon Dec 04 19:17:15 GMT 2023","Mon Dec 04 19:17:15 GMT 2023","169","tests.api_tests","test_api","","","","test_create_post","
    Test creation of new post
    :rtype: object
    "
"passed","Mon Dec 04 19:17:11 GMT 2023","Mon Dec 04 19:17:12 GMT 2023","328","tests.api_tests","test_api","","","","test_get_users","
    Test get all users
    :rtype: object
    "
"passed","Mon Dec 04 19:17:13 GMT 2023","Mon Dec 04 19:17:14 GMT 2023","407","tests.api_tests","test_api","","","","test_update_user_by_id","
    Test update of already created users with different parameters
    :rtype: object
    "
"passed","Mon Dec 04 19:17:12 GMT 2023","Mon Dec 04 19:17:12 GMT 2023","121","tests.api_tests","test_api","","","","test_create_user","
    Testing creation of new user
    :rtype: object
    "
"passed","Mon Dec 04 19:17:16 GMT 2023","Mon Dec 04 19:17:17 GMT 2023","238","tests.api_tests","test_api","","","","test_delete_post_by_id","
    Test deletion of already created post
    :rtype: object
    "
"passed","Mon Dec 04 19:17:15 GMT 2023","Mon Dec 04 19:17:16 GMT 2023","460","tests.api_tests","test_api","","","","test_get_post_by_id","
    Test getting post by id
    :rtype: object
    "
"passed","Mon Dec 04 19:17:12 GMT 2023","Mon Dec 04 19:17:12 GMT 2023","276","tests.api_tests","test_api","","","","test_get_user_by_id","
    Test getting user by id
    :rtype: object
    "
"passed","Mon Dec 04 19:17:16 GMT 2023","Mon Dec 04 19:17:16 GMT 2023","296","tests.api_tests","test_api","","","","test_update_post_by_id","
    Test update already created post by other data
    :rtype: object
    "
"passed","Mon Dec 04 19:17:14 GMT 2023","Mon Dec 04 19:17:14 GMT 2023","281","tests.api_tests","test_api","","","","test_delete_user_by_id","
    Test deletion of already created users
    :rtype: object
    "
"passed","Mon Dec 04 19:17:14 GMT 2023","Mon Dec 04 19:17:14 GMT 2023","525","tests.api_tests","test_api","","","","test_get_posts","
    Test get all post and check the type
    :rtype: object
    "
